,,,,,,,,,,,,,,,,,,,,,,,,,,,,開始日,2018/4/1,2018/7/19,2018/9/1,2018/7/26,2018/8/8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了日,2018/7/18,2018/7/25,2018/9/13,2018/8/15,2018/8/15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,開始日,2018/9/14,,,2018/8/16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了日,2018/11/30,,,2018/8/31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,開始日,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了日,,,,,,
,,AT卒業日,MT卒業日,限定割,夏特,春得,ゴールド,プラチナ,年末一時帰宅,特割,特割I・II,特割II,学生特割／特割,学生特割,シングル特割,曜日限定シングル特割,自炊シングル特割・シングル特割,曜日限定特割,シングルオフ特,限定割／特割,一時帰宅（一時帰宅交通費支給）,一時帰宅（一時帰宅交通費自己負担）,二輪同時特割,オフ特,,,,,水色,オレンジ,緑,ピンク,紫,黄色
2018/8/7,火,,2018/8/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/8,水,2018/8/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,●,
2018/8/9,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/10,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/11,土,,2018/9/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,●,
2018/8/12,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/13,月,2018/9/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,●,
2018/8/14,火,,2018/9/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,●,
2018/8/15,水,2018/9/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,●,
2018/8/16,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/17,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/18,土,,2018/9/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/19,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/20,月,2018/9/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/21,火,,2018/9/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/22,水,2018/9/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/23,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/24,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/25,土,,2018/9/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/26,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/27,月,2018/9/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/28,火,,2018/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/29,水,2018/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,
2018/8/30,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/8/31,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/1,土,,2018/9/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,
2018/9/2,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/3,月,2018/9/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,
2018/9/4,火,,2018/9/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,
2018/9/5,水,2018/9/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,
2018/9/6,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/7,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/8,土,,2018/10/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,
2018/9/9,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/10,月,2018/10/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,
2018/9/11,火,,2018/10/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,
2018/9/12,水,2018/10/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,
2018/9/13,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/14,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/15,土,,2018/10/8,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/9/16,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/17,月,2018/10/9,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/9/18,火,,2018/10/11,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/9/19,水,2018/10/11,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/9/20,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/21,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/22,土,,2018/10/15,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/9/23,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/24,月,2018/10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/9/25,火,,2018/10/18,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/9/26,水,2018/10/18,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/9/27,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/28,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/9/29,土,,2018/10/22,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/9/30,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/1,月,2018/10/23,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/2,火,,2018/10/25,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/3,水,2018/10/25,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/4,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/5,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/6,土,,2018/10/29,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/7,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/8,月,2018/10/30,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/9,火,,2018/11/1,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/10,水,2018/11/1,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/11,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/12,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/13,土,,2018/11/5,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/14,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/15,月,2018/11/6,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/16,火,,2018/11/8,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/17,水,2018/11/8,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/18,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/19,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/20,土,,2018/11/12,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/21,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/22,月,2018/11/13,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/23,火,,2018/11/15,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/24,水,2018/11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/25,木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/26,金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/27,土,,2018/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/28,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/29,月,2018/11/20,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/30,火,,2018/11/22,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
2018/10/31,水,2018/11/22,,,,,,,,,,,,,,,,,,,,,,,,,,,●,,,,,
